# Functions safe to replace (no internal ARM callers)
# addr size name
0x001f78a5      136 _ZN14ExtraCharacter15getEdgeLocationEP12LogicVector2i
0x001f798d      148 _ZN8FootstepC2EP15LogicGameObject
0x001f798d      148 _ZN8FootstepC1EP15LogicGameObject
0x001f7a21        8 _ZNK8Footstep16getLogicFootstepEv
0x001f7a7d      204 _ZN8Footstep24refreshPositionFromLogicEv
0x001f7bc5      364 _ZN10GameObjectC2EP15LogicGameObjectbb
0x001f7bc5      364 _ZN10GameObjectC1EP15LogicGameObjectbb
0x001f7f39      108 _ZN10GameObject24refreshPositionFromLogicEv
0x001f8799        4 _ZNK10GameObject8getLogicEv
0x001f8a39       76 _ZN10GameObject10playEffectEP15LogicEffectData
0x001f8a85       62 _ZN10GameObject10playEffectEP15LogicEffectDataRK12LogicVector2i
0x001f8ac5       84 _ZN10GameObject10playEffectEP15LogicEffectDatai
0x001f8b19       12 _ZN10GameObject10playEffectEP15LogicEffectDataRK12LogicVector2
0x001f8b25      516 _ZN10GameObject22startGameObjectEffectsEP15LogicEffectData
0x001f8d29      108 _ZN10GameObject18playAttachedEffectEP15LogicEffectData
0x001f8d95       88 _ZN10GameObject18playTargetedEffectEP15LogicEffectDataP15LogicGameObject
0x001f8ded       66 _ZN10GameObject18playTargetedEffectEP15LogicEffectDataP15LogicGameObjectRK12LogicVector2i
0x001f8e2f       26 _ZN10GameObject18playTargetedEffectEP15LogicEffectDataP15LogicGameObjectRK12LogicVector2
0x001f8e49       88 _ZN10GameObject18playTargetedEffectEP15LogicEffectDataP15LogicGameObjecti
0x001f8ea1      144 _ZN10GameObject18playTargetedEffectEP15LogicEffectDataffiii
0x001f8f45      552 _ZN10GameObject18resourcesCollectedEP17LogicResourceDataibb
0x001f9805      116 _ZN10GameObject19triggerStatusEffectEP15LogicEffectData
0x001f9f05       52 _ZN17GameObjectManagerC2EP22LogicGameObjectManager
0x001f9f05       52 _ZN17GameObjectManagerC1EP22LogicGameObjectManager
0x001f9fd1       68 _ZN17GameObjectManager17constructInstanceEP22LogicGameObjectManager
0x001fa119      580 _ZN17GameObjectManager13addGameObjectEP15LogicGameObject
0x001fa35d      132 _ZN17GameObjectManager16removeGameObjectEP15LogicGameObject
0x001fa3e1       96 _ZNK17GameObjectManager19getGameObjectByDataEP9LogicDataii
0x001fabe1      132 _ZN7GunBoat14createInstanceEP12LogicTileMap
0x001fb55d     1236 _ZN11LandingShipC1EP15LogicGameObject
0x001fb55d     1236 _ZN11LandingShipC2EP15LogicGameObject
0x001fc269      100 _ZNK11LandingShip19getLogicLandingShipEv
0x001fc48d      204 _ZN11LandingShip24refreshPositionFromLogicEv
0x001fc559       32 _ZN7LocatorC1EP15LogicGameObject
